"","x"
"1",-0.28348580088792
"2",0.706056016019496
"3",-0.710370867416641
"4",-1.67602699645858
"5",0.198345058714232
"6",-0.0886131272471179
"7",-1.95721482979248
"8",0.818927556055123
"9",1.20122681076645
"10",0.93803589084121
"11",-0.0886131272471179
"12",-2.34888730072894
"13",-1.26808537124674
"14",0.198345058714232
"15",-0.596366206242599
"16",0.818927556055123
"17",0.393560817526124
"18",-0.831782535606886
"19",0.706056016019496
"20",-0.185242973962941
"21",0.295135901971276
"22",-3.01913449189906
"23",1.20122681076645
"24",1.51221234574755
"25",-0.596366206242599
"26",0.818927556055123
"27",-0.185242973962941
"28",-0.28348580088792
"29",-0.710370867416641
"30",-0.596366206242599
"31",-0.962869650879155
"32",-0.596366206242599
"33",2.13019910791898
"34",-0.185242973962941
"35",1.89725607716342
"36",-0.596366206242599
"37",-1.10677800436331
"38",3.10488811866738
"39",2.40040767040495
"40",1.69328771252053
"41",-0.185242973962941
"43",0.295135901971276
"45",0.198345058714232
"46",-1.26808537124674
"47",-3.01913449189906
"49",0.102539164461225
"50",-0.0886131272471179
"51",-0.28348580088792
"52",-0.28348580088792
"53",1.69328771252053
"54",-1.45387401039373
"55",0.00709767094722063
"56",1.51221234574755
"57",-0.710370867416641
"58",-1.67602699645858
"59",-2.34888730072894
"60",0.00709767094722063
"61",-0.831782535606886
"62",0.818927556055123
"63",0.295135901971276
"64",1.34939535950435
"65",-0.0886131272471179
"66",0.295135901971276
"67",0.706056016019496
"68",-0.0886131272471179
"69",-1.67602699645858
"70",0.598198409560744
"71",-0.710370867416641
"72",-2.34888730072894
"73",3.5850736791908
"74",0.93803589084121
"75",-0.962869650879155
"76",1.69328771252053
"77",-0.831782535606886
"78",-1.67602699645858
"79",-1.45387401039373
"80",0.49432540580028
"81",0.598198409560744
"82",-1.67602699645858
"84",-0.0886131272471179
"85",0.102539164461225
"87",1.20122681076645
"88",0.295135901971276
"89",-2.34888730072894
"90",0.818927556055123
"91",-0.710370867416641
"92",0.49432540580028
"93",0.49432540580028
"94",-0.28348580088792
"95",0.49432540580028
"96",-0.831782535606886
"98",0.598198409560744
"99",2.13019910791898
"100",2.71953632654179
"101",0.598198409560744
"102",1.51221234574755
"103",-0.962869650879155
"104",-3.01913449189906
"105",-0.596366206242599
"106",0.706056016019496
"107",-0.28348580088792
"108",-0.710370867416641
"109",-0.28348580088792
"110",-3.01913449189906
"111",5.15664618172662
"112",-1.45387401039373
"113",-0.962869650879155
"114",0.706056016019496
"115",1.06486185011872
"116",-0.185242973962941
"117",0.49432540580028
"118",0.00709767094722063
"119",-0.185242973962941
"120",0.102539164461225
"121",-0.0886131272471179
"122",-1.67602699645858
"123",0.198345058714232
"124",-0.596366206242599
"125",-1.26808537124674
"126",-1.67602699645858
"127",4.21481255061385
"128",2.40040767040495
"129",1.20122681076645
"130",0.295135901971276
"131",3.5850736791908
"132",0.198345058714232
"133",-0.596366206242599
"134",-0.962869650879155
"135",-0.962869650879155
"136",-0.596366206242599
"137",-0.384126577273227
"139",-0.596366206242599
"140",0.818927556055123
"141",-0.0886131272471179
"142",0.198345058714232
"144",0.198345058714232
"145",-1.45387401039373
"146",0.295135901971276
"147",-0.28348580088792
"149",0.295135901971276
"150",1.51221234574755
"151",0.393560817526124
"152",1.20122681076645
"153",-0.0886131272471179
"154",0.49432540580028
"155",0.198345058714232
"156",-1.45387401039373
"157",-0.596366206242599
"158",0.818927556055123
"160",-1.10677800436331
"161",1.51221234574755
"162",-0.384126577273227
"163",0.102539164461225
"164",-1.26808537124674
"165",-0.28348580088792
"166",2.71953632654179
"167",-0.185242973962941
"168",0.818927556055123
"169",0.818927556055123
"170",-0.710370867416641
"171",0.93803589084121
"172",-2.34888730072894
"173",0.49432540580028
"174",-1.95721482979248
"175",0.706056016019496
"176",-0.28348580088792
"177",-0.710370867416641
"178",-0.48806261289325
"179",-3.01913449189906
"180",-0.48806261289325
"181",0.295135901971276
"182",-0.48806261289325
"184",0.198345058714232
"186",1.69328771252053
"187",-0.185242973962941
"188",-0.0886131272471179
"189",0.00709767094722063
"190",-0.185242973962941
"191",0.49432540580028
"192",2.40040767040495
"193",3.10488811866738
"194",-0.384126577273227
"195",1.20122681076645
"196",-1.95721482979248
"197",-3.01913449189906
"199",-3.01913449189906
"200",0.295135901971276
"201",0.93803589084121
"202",-0.831782535606886
"204",-0.962869650879155
"205",0.00709767094722063
"206",-1.67602699645858
"208",-3.01913449189906
"209",1.89725607716342
"210",0.598198409560744
"211",0.00709767094722063
"213",1.34939535950435
"214",1.06486185011872
"215",0.295135901971276
"216",-2.34888730072894
"217",3.5850736791908
"218",-1.10677800436331
"220",0.102539164461225
"221",0.393560817526124
"222",-0.384126577273227
"223",2.13019910791898
"225",1.20122681076645
"226",0.49432540580028
"227",0.598198409560744
"229",-3.01913449189906
